epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.1, 0.5, '1.0/t', 0.0, 93,0.55461341525857655, 0.58 
0.1, 0.5, '1.0/t', 0.0, 95,0.55075856307435245, 0.63 
0.1, 0.5, '1.0/t', 0.0, 96,0.56108307780182776, 0.55 
0.1, 0.5, '1.0/t', 0.0, 93,0.54570963087092117, 0.69 
0.1, 0.5, '1.0/t', 0.0, 95,0.58305475810738983, 0.67 
0.1, 0.5, '1.0/t', 0.0, 94,0.54197568389057749, 0.62 
0.1, 0.5, '1.0/t', 0.0, 94,0.54368287740628174, 0.56 
0.1, 0.5, '1.0/t', 0.0, 91,0.5581510552939124, 0.7 
0.1, 0.5, '1.0/t', 0.0, 96,0.51805720899470897, 0.59 
0.1, 0.5, '1.0/t', 0.0, 95,0.55540517961570601, 0.58 
0.1, 0.5, '1.0/t', 0.0, 97,0.51443730381874708, 0.64 
0.1, 0.5, '1.0/t', 0.0, 94,0.58539682539682536, 0.58 
0.1, 0.5, '1.0/t', 0.0, 85,0.57172676343264572, 0.56 
0.1, 0.5, '1.0/t', 0.0, 95,0.53736173767752726, 0.48 
0.1, 0.5, '1.0/t', 0.0, 91,0.57425114567971702, 0.49 
0.1, 0.5, '1.0/t', 0.0, 95,0.5468585099111416, 0.65 
0.1, 0.5, '1.0/t', 0.0, 91,0.53390228818800245, 0.38 
0.1, 0.5, '1.0/t', 0.0, 96,0.54686124639249634, 0.64 
0.1, 0.5, '1.0/t', 0.0, 97,0.55633618958361231, 0.46 
0.1, 0.5, '1.0/t', 0.0, 98,0.51083487940630801, 0.53 
0.1, 0.5, '1.0/t', 0.0, 98,0.57149497894395851, 0.45 
0.1, 0.5, '1.0/t', 0.0, 94,0.523806146572104, 0.62 
0.1, 0.5, '1.0/t', 0.0, 98,0.55898040168448337, 0.61 
0.1, 0.5, '1.0/t', 0.0, 97,0.51837997054491902, 0.6 
0.1, 0.5, '1.0/t', 0.0, 95,0.55760233918128643, 0.44 
