Date,Open,High,Low,Close
2016-09-09,6858.7,6862.38,6762.3,6776.95
2016-09-08,6846.58,6889.64,6819.82,6858.7
2016-09-07,6826.05,6856.12,6814.87,6846.58
2016-09-06,6879.42,6887.92,6818.96,6826.05
2016-09-05,6894.6,6910.66,6867.08,6879.42
2016-09-02,6745.97,6928.25,6745.97,6894.6
2016-09-01,6781.51,6826.22,6723.21,6745.97
2016-08-31,6820.79,6832.89,6779.54,6781.51
2016-08-30,6838.05,6851.83,6808.07,6820.79
2016-08-26,6816.9,6857.29,6798.82,6838.05
2016-08-25,6835.78,6836.22,6779.15,6816.9
2016-08-24,6868.51,6868.51,6825.22,6835.78
2016-08-23,6828.54,6885.39,6828.54,6868.51
2016-08-22,6858.95,6884.61,6812.07,6828.54
2016-08-19,6868.96,6871.48,6840.94,6858.95
2016-08-18,6859.15,6893.35,6850.61,6868.96
2016-08-17,6893.92,6920.76,6849.9,6859.15
2016-08-16,6941.19,6941.19,6893.92,6893.92
2016-08-15,6916.02,6955.34,6907.17,6941.19
2016-08-12,6914.71,6931.04,6896.04,6916.02
2016-08-11,6866.42,6914.71,6812.73,6914.71
2016-08-10,6851.3,6866.42,6820.04,6866.42
2016-08-09,6809.13,6863.1,6807.76,6851.3
2016-08-08,6793.47,6829.47,6781.47,6809.13
2016-08-05,6740.16,6802.41,6738.57,6793.47
2016-08-04,6634.4,6749.67,6615.83,6740.16
2016-08-03,6645.4,6673.63,6621.42,6634.4
2016-08-02,6693.95,6694.14,6630.76,6645.4
2016-08-01,6724.43,6769.41,6678.45,6693.95
2016-07-29,6721.06,6740.47,6691.13,6724.43
2016-07-28,6750.43,6762.72,6718.9,6721.06
2016-07-27,6724.03,6780.05,6723.71,6750.43
2016-07-26,6710.13,6744.8,6708.58,6724.03
2016-07-25,6730.48,6756.13,6691.03,6710.13
2016-07-22,6699.89,6735.94,6663.72,6730.48
2016-07-21,6728.99,6732.07,6694.52,6699.89
2016-07-20,6697.37,6736.57,6694.36,6728.99
2016-07-19,6695.42,6711.69,6660.87,6697.37
2016-07-18,6669.24,6715.58,6653.67,6695.42
2016-07-15,6654.47,6669.24,6616.51,6669.24
2016-07-14,6670.4,6743.42,6648.4,6654.47
2016-07-13,6680.69,6717.17,6654.64,6670.4
2016-07-12,6682.86,6703.09,6663.66,6680.69
